iter	RMSE
0	1291561.064
1	1264044.084
2	1259545.981
3	1255284.512
4	1231693.665
5	1207787.761
6	1203775.839
7	1183363.059
8	1179328.72
9	1175556.869
10	1171882.121
11	1153217.739
12	1149676.91
13	1130028.788
14	1112068.982
15	1093603.187
16	1090184.438
17	1086961.517
18	1083822.815
19	1080733.021
20	1077680.176
21	1074632.467
22	1058465.688
23	1055673.931
24	1039149.917
25	1036380.89
26	1022250.083
27	1008120.52
28	995013.9465
29	992514.844
30	990341.564
31	978789.5531
32	976495.2743
33	963501.0678
34	961295.5519
35	950916.8907
36	948766.2919
37	946684.8196
38	944697.4477
39	934181.7699
40	932523.124
41	930382.2524
42	920809.4516
43	909006.3646
44	898782.262
45	887069.8239
46	878141.2597
47	868501.0014
48	866881.6192
49	861684.096
50	853515.2997
51	851994.8118
52	844592.3991
53	838626.2681
54	831032.2854
55	829606.4503
56	823072.2307
57	816996.2791
58	810144.7769
59	808854.785
60	807705.2815
61	806492.446
62	805567.3906
63	799390.6528
64	798263.4184
65	793755.1079
66	792683.5664
67	787761.6355
68	782783.3531
69	781762.2184
70	780737.7561
71	779964.7228
72	773885.0856
73	770082.0258
74	769158.792
75	765363.135
76	764528.0132
77	763703.3047
78	761003.8095
79	755412.7428
80	751484.1422
81	750657.524
82	747464.1849
83	743660.7904
84	742929.4537
85	738064.4556
86	733396.1279
87	728870.7012
88	725561.1785
89	725091.3615
90	724496.1178
91	720665.3841
92	720269.1966
93	719718.7138
94	716171.8933
95	712657.8026
96	709642.2176
97	706506.1053
98	706189.4143
99	705693.5934
100	702515.0345
101	700061.6349
102	696782.2281
103	693301.9631
104	692880.9631
105	689821.3892
106	686685.0417
107	683779.114
108	681485.5288
109	681270.1219
110	681069.6031
111	680704.116
112	678855.1009
113	676772.6556
114	675080.0038
115	672715.4797
116	670872.67
117	669384.7587
118	667148.0284
119	664482.1242
120	662815.1517
121	661620.7004
122	661446.5953
123	659469.9034
124	657586.6698
125	656487.1427
126	655091.0448
127	654157.3874
128	652173.1665
129	650169.8839
130	648797.1743
131	647264.2159
132	647133.1298
133	646356.2674
134	644148.0609
135	642743.7741
136	640945.2184
137	639830.4571
138	638375.3139
139	637304.5746
140	635859.1154
141	634402.7078
142	633359.8498
143	632517.6925
144	631095.1273
145	629019.7016
146	627760.2194
147	626602.595
148	625497.6177
149	624302.213
150	623268.7531
151	621852.9366
152	620823.0998
153	619756.0033
154	618760.39
155	617713.1358
156	616387.3062
157	614878.0748
158	613846.1657
159	613024.9468
160	612045.9264
161	610779.9388
162	610123.9224
163	608897.5971
164	608386.9891
165	607059.7116
166	606491.8201
167	605368.9719
168	604302.2828
169	603555.3712
170	602113.9112
171	600877.2733
172	600062.0408
173	599227.9952
174	598493.5366
175	598074.052
176	597040.2822
177	596375.8075
178	595429.5698
179	594528.5367
180	594221.9109
181	593523.5909
182	593462.7119
183	592185.375
184	590941.6213
185	590848.3903
186	590143.8718
187	589287.1136
188	588460.0294
189	588010.7714
190	587317.3308
191	586482.6527
192	585680.2268
193	584639.2214
194	583945.9394
195	583469.7685
196	582661.7089
197	582014.5801
198	581525.3561
199	580936.5083
200	580311.7216
201	580267.0018
202	579833.8988
203	579278.837
204	578627.8066
205	578152.6623
206	577570.9453
207	576642.7816
208	576582.423
209	576343.2545
210	575753.0004
211	575278.6224
212	574998.7293
213	574569.7068
214	574232.1565
215	573494.832
216	572991.6162
217	572563.1446
218	571949.1897
219	571276.9472
220	570556.1498
221	570112.9634
222	569485.8474
223	569178.5146
224	568612.9737
225	568167.63
226	567767.6506
227	567397.9664
228	566467.8431
229	565943.1844
230	565549.4852
231	565412.7863
232	564891.5551
233	564290.6076
234	563816.1545
235	563292.4031
236	562674.3049
237	562032.6216
238	561626.4204
239	561235.6018
240	561101.5381
241	560334.4404
242	559930.0221
243	559271.6295
244	558728.2663
245	558005.7445
246	557537.7391
247	556914.4062
248	556262.3785
249	555465.7157
250	554887.5833
251	554543.1607
252	554227.1412
253	553445.8337
254	552849.4036
255	552427.6213
256	552333.4766
257	550965.8182
258	550590.7033
259	550173.458
260	550129.409
261	549838.0399
262	549773.6997
263	549025.1426
264	548563.8093
265	548240.996
266	547722.1171
267	547167.5809
268	547077.7417
269	547039.1474
270	546501.8705
271	546237.4719
272	545682.4326
273	545323.4997
274	544765.3618
275	544729.8404
276	544347.51
277	544061.3904
278	543527.8237
279	543166.1342
280	542746.0064
281	542265.4933
282	542200.6381
283	541620.066
284	541588.2088
285	541309.5503
286	540567.0111
287	540238.8959
288	539562.9751
289	539311.8229
290	538941.7601
291	538702.3086
292	538115.6628
293	537585.1015
294	537269.3652
295	537052.3185
296	535613.1326
297	535418.8656
298	535087.5659
299	534671.5782
300	534457.1615
301	533622.7497
302	533147.6528
303	532518.7537
304	532178.3784
305	531652.6048
306	531368.8685
307	531108.3402
308	530768.0413
309	530547.7313
310	530317.9914
311	529930.69
312	529465.0205
313	529267.8025
314	529051.6375
315	528358.2467
316	528041.1518
317	527852.5596
318	527433.9303
319	526768.6847
320	526565.1833
321	525969.251
322	525599.9132
323	524889.8182
324	524755.5661
325	524696.5721
326	524669.2421
327	524112.1291
328	523541.2767
329	523337.644
330	523116.0716
331	523062.3234
332	522672.771
333	522401.0873
334	522272.8685
335	521902.1491
336	521543.6078
337	521298.9976
338	521125.8867
339	520824.0038
340	520488.4455
341	520173.5983
342	519895.1372
343	519502.3864
344	519226.4581
345	518785.0314
346	518642.2723
347	518378.5622
348	518018.5844
349	517752.1737
350	517676.4421
351	517243.6177
352	516950.5365
353	516278.7921
354	515944.9913
355	515713.7234
356	514956.8097
357	514611.0164
358	514437.917
359	513765.3155
360	513637.261
361	513415.9725
362	512596.5011
363	512294.8717
364	511900.6218
365	511659.7904
366	511610.1053
367	511473.2389
368	511228.5019
369	510893.1191
370	510430.497
371	510255.3658
372	510128.348
373	509576.1179
374	509332.8772
375	509221.6933
376	508768.7867
377	508612.6831
378	507915.4164
379	507714.0255
380	507137.485
381	506979.2106
382	506633.9941
383	506419.457
384	506280.675
385	506079.4206
386	505743.9113
387	505050.2652
388	505017.2479
389	504474.7965
390	504328.7742
391	504091.076
392	503748.6843
393	503644.7668
394	503184.0716
395	503065.8817
396	502943.2375
397	502733.4346
398	502469.0519
399	502355.3754
400	501722.8759
401	501524.9268
402	501271.4156
403	501134.1342
404	500965.9258
405	500859.701
406	500741.832
407	500208.9727
408	500020.8252
409	499522.6821
410	499224.8016
411	498981.027
412	498620.2495
413	498344.1932
414	498261.6585
415	497932.7821
416	497760.4758
417	497113.9925
418	496913.3927
419	496554.932
420	496463.3049
421	496437.6792
422	496227.8819
423	495964.1192
424	495937.3998
425	495699.8296
426	495286.7016
427	494994.0887
428	494884.4794
429	494714.7305
430	494567.7935
431	494339.7992
432	494246.4708
433	494156.9521
434	494069.7293
435	493784.1554
436	493472.5372
437	493071.5561
438	492537.5341
439	492330.0316
440	491979.4534
441	491744.8232
442	491589.7565
443	491251.0231
444	491050.0554
445	490973.2001
446	490833.4529
447	490566.8625
448	490354.899
449	490150.462
450	489766.4246
451	489569.2234
452	489126.1189
453	488849.7627
454	488668.3023
455	488483.7366
456	488330.1473
457	488167.7592
458	488096.8535
459	487966.7883
460	487863.4989
461	487772.9397
462	487342.5934
463	487159.2554
464	487034.4876
465	486773.1379
466	486741.9972
467	486592.2814
468	486453.6741
469	486415.3488
470	486154.0384
471	485890.251
472	485878.0894
473	485621.3318
474	485328.1395
475	485099.5036
476	484497.0296
477	484240.5002
478	484139.7669
479	483881.3213
480	483842.749
481	483236.7951
482	483003.7386
483	482723.7681
484	482684.9671
485	482600.7216
486	482319.2156
487	482042.0007
488	481878.9692
489	480945.4904
490	480794.9141
491	480668.7914
492	480203.8958
493	480092.0481
494	479740.4979
495	479631.9037
496	479474.8324
497	479394.2896
498	478965.8352
499	478470.0478
500	478456.6353
501	478169.8374
502	478003.1184
503	477834.1712
504	477505.2455
505	477143.9564
506	476757.9415
507	476594.39
508	476471.7987
509	476440.906
510	476429.8241
511	476406.1736
512	476262.0203
513	475956.3917
514	475925.894
515	475712.9246
516	475649.3601
517	475342.8905
518	475158.2182
519	474878.7614
520	474662.441
521	474272.8633
522	474063.3155
523	473755.797
524	473666.742
525	473511.1929
526	473292.4731
527	472780.7921
528	472666.3773
529	472445.1917
530	472236.1797
531	472105.935
532	471820.3834
533	471679.8669
534	471502.0747
535	471443.8357
536	470554.6567
537	470475.578
538	470373.2331
539	470353.0795
540	470286.4649
541	470164.0481
542	469910.0562
543	469619.583
544	469600.6558
545	469326.0103
546	469204.5376
547	469009.7904
548	468920.8783
549	468740.4006
550	468625.087
551	468389.4972
552	468258.9519
553	468124.5166
554	468001.3163
