iter	Passed	Remaining
0	23	23926
1	45	22685
2	58	19359
3	70	17502
4	91	18161
5	114	19038
6	131	18696
7	159	19821
8	184	20305
9	202	20008
10	214	19279
11	237	19582
12	252	19197
13	276	19489
14	300	19723
15	326	20077
16	345	19954
17	371	20243
18	384	19866
19	400	19620
20	424	19768
21	445	19785
22	482	20484
23	506	20610
24	537	20946
25	562	21071
26	589	21259
27	614	21325
28	639	21402
29	655	21187
30	667	20878
31	691	20916
32	702	20599
33	729	20729
34	742	20472
35	769	20593
36	789	20557
37	806	20417
38	818	20165
39	842	20208
40	854	19978
41	879	20055
42	909	20245
43	939	20412
44	973	20652
45	999	20725
46	1023	20761
47	1052	20864
48	1072	20818
49	1092	20760
50	1118	20816
51	1130	20602
52	1156	20658
53	1180	20683
54	1205	20707
55	1228	20715
56	1257	20796
57	1284	20858
58	1307	20859
59	1324	20750
60	1349	20771
61	1361	20599
62	1378	20500
63	1404	20544
64	1416	20381
65	1443	20422
66	1459	20323
67	1485	20359
68	1508	20360
69	1535	20400
70	1555	20353
71	1581	20381
72	1615	20511
73	1640	20532
74	1656	20434
75	1683	20465
76	1694	20306
77	1709	20213
78	1735	20235
79	1760	20249
80	1786	20267
81	1806	20225
82	1832	20247
83	1857	20259
84	1883	20270
85	1907	20268
86	1936	20321
87	1960	20315
88	1987	20342
89	2003	20259
90	2028	20264
91	2054	20276
92	2067	20165
93	2081	20062
94	2107	20079
95	2135	20112
96	2163	20144
97	2189	20152
98	2208	20098
99	2234	20109
100	2258	20098
101	2284	20109
102	2308	20100
103	2335	20118
104	2351	20041
105	2375	20036
106	2402	20047
107	2426	20041
108	2450	20034
109	2464	19940
110	2476	19837
111	2501	19830
112	2524	19818
113	2549	19813
114	2574	19810
115	2600	19818
116	2628	19840
117	2654	19839
118	2679	19836
119	2704	19830
120	2728	19821
121	2752	19807
122	2771	19762
123	2798	19767
124	2823	19765
125	2848	19760
126	2872	19747
127	2900	19756
128	2926	19756
129	2955	19780
130	2984	19796
131	3011	19800
132	3022	19706
133	3064	19802
134	3098	19850
135	3122	19836
136	3149	19842
137	3174	19829
138	3200	19822
